edge_idx,component_id
236,13
295,6
306,2
355,7
366,11
391,14
422,13
451,14
464,2
470,7
723,6
732,14
749,7
774,2
783,6
821,0
850,0
867,6
904,7
976,11
977,11
1016,6
1041,2
1060,2
1105,2
1115,2
1126,6
1171,7
1196,2
1233,7
1258,14
1304,13
1346,7
1365,13
1432,2
1520,7
1589,13
1590,13
1619,13
1791,10
1792,10
1793,10
1884,5
1901,11
1904,10
1905,10
1923,0
1924,2
2005,0
2006,0
2079,0
2212,9
2213,9
2292,5
2293,5
2298,0
2322,0
2343,10
2444,6
2459,5
2502,2
2514,11
2515,11
2660,0
2731,5
2748,9
2749,9
2799,0
2972,10
2979,5
3000,14
3018,0
3020,0
3021,0
3026,0
3134,0
3164,5
3223,0
3226,7
3227,7
3261,2
3295,11
3296,11
3310,9
3311,9
3353,8
3363,1
3373,8
3374,8
3394,8
3397,1
3415,3
3416,3
3455,8
3463,1
3471,3
3472,3
3476,1
3477,1
3488,8
3518,1
3519,1
3548,1
3550,1
3553,1
3570,1
3576,1
3593,3
3594,3
3617,1
3628,8
3637,3
3638,3
3655,3
3656,3
3657,3
3658,3
3940,4
3995,4
4135,4
4154,4
4174,4
4270,4
5296,4
5348,12
5478,12
5580,12
5591,12
5592,12
5620,12
5621,12
